X,Y,OBJECTID,DATEREPORTED,INFORELIABILITY,INCIDENTREGION,DEAD,MISSING,NATIONALITIES,ORIGINREGION,MIGRANTROUTE,LOCATIONDESCRIPTION,NOFEMALE,NOMALE,NOCHILDREN,AGERANGE,SOURCE,URL,COMMENT,PUBLICVIEW,Cause_of_death,Number_of_survivors,type_location
89.48740625,13.498141042,549,2015/05/26 00:00:00+00,Verified,Southeast Asia,2,,"Bangladeshi, Rohingya",South East Asia,Bay of Bengal and Andaman Sea,Bay of Bengal,,,,,IOM SITREP,,,Yes,Unknown,,
-100.156984375,26.2132571660001,550,2015/05/26 00:00:00+00,Partially Verified,Central America incl. Mexico,1,,Unkown,Central America & Mexico,Central America to United States,"Ramos Arizpe, Mexico on the way to Laredo",,1,,,El Siglo,http://bit.ly/20rhPXZ,An approximately 30-year-old migrant fell to his death from the train that would take him to the US-Mexico border at Laredo.,Yes,Fell from train,,
30.322228125,31.9148246930001,551,2015/05/25 00:00:00+00,Partially Verified,Mediterranean,5,,African,Sub-Saharan Africa,Central Mediterranean ,"Off coast of Kafr el-Sheikh, Egypt",,,,,Le Figaro,http://bit.ly/1AqSSCy,,Yes,Drowning,,
11.4892,35.9492,552,2015/05/23 00:00:00+00,Partially Verified,Mediterranean,5,,Tunisia,MENA,Central Mediterranean ,Teboulba,,,,,Business Standard,"5 Italy-bound Tunisian migrants drown, 49 rescued in Med",,Yes,Drowning,,
14.0625,36.5979,554,2015/05/21 00:00:00+00,Partially Verified,Mediterranean,1,,Eritrea,Horn of Africa,Central Mediterranean,,,1,,,IOM Rome,http://missingmigrants.iom.int/node/902,,Yes,Inhalation of toxic fumes from boat engine,,
47.9846,-13.2081,555,2015/05/20 00:00:00+00,Partially Verified,Sub-Saharan Africa,8,,Malagasy,Sub-Saharan Africa,From Madagascar to Mayotte,Nosy Be (Northern Madagascar),5,3,,,LINFO,http://bit.ly/1g8tisr,,Yes,Drowning,,
97.931785156,4.71878035300006,556,2015/05/19 00:00:00+00,Verified,Southeast Asia,1,,Unknown,South Asia,From Bangladesh to Indonesia,"Indonesia, Cut Meutia Hospital",,1,,,IOM SITREP,,Died in hospital,Yes,Unknown,,
93.5101,19.7357,559,2015/05/12 00:00:00+00,Verified,Southeast Asia,47,,"Myanmar, Bangladesh",South Asia,Bay of Bengal and Andaman Sea,"Bodies found on beaches of Rakhine, Myanmar",,,,,Press TV,http://www.presstv.ir/Detail/2015/06/03/414204/Myanmar-migrants-Rohing,Reported to be Rohingya,Yes,Drowning,,
14.1119,36.5626,561,2015/05/04 00:00:00+00,Verified,Mediterranean,5,41,Mixed,Sub-Saharan Africa,Central Mediterranean ,"Unspecified location south of Sicily, Italy",,,,,IOM Rome,http://www.bbc.com/news/world-europe-32593187,,Yes,Mostly drowning,,
31.2891,31.6534,562,2015/05/02 00:00:00+00,Partially Verified,Mediterranean,3,,Unknown,Unknown,Central Mediterranean ,"off the coast of Beheira's Edku city, Egypt",,,,,Ahram Online,http://bit.ly/1brfBSA,,Yes,Drowning,31,
-1.59228665599994,35.9089831090001,564,2015/01/03 23:00:00+00,Partially Verified,Mediterranean,5,,Unknown,Unknown,Western Mediterranean,80 km north of Algeria,,,,,El Periodico,http://bit.ly/20GoXzL,,Yes,Drowning,,
13.1787040470001,32.581556135,565,2015/01/19 23:00:00+00,Partially Verified,North Africa,12,,Nigeria,Sub-Saharan Africa,Other,"between Tarhuna and Tripoli, Libya",,,,,FFM-Online,http://bit.ly/1MRM1Yh,,Yes,Vehicle accident,,
20.265556116,39.503885811,566,2015/04/20 22:00:00+00,Partially Verified,Mediterranean,1,,Afghan,South Asia,Central Mediterranean,"On ferry from Igoumenitsa, Greece to Bari, Italy",,1,,21,TheLocal.it,http://bit.ly/1XZhNnY,,Yes,Crushed by bus on ferry,,
27.2888883800001,36.8933299660001,568,2015/08/16 22:00:00+00,Partially Verified,Mediterranean,1,,Syria,Middle East,Eastern Mediterranean,"At the foot of a cliff on the coast of Kos, Greece",,1,,16,AFP,http://bit.ly/20J8bjv,e body of a 16-year-old Syrian boy smuggled from Turkey was found at the foot of a cliff on the Greek island of Kos. It was unclear for how long the boy had been dead.,Yes,Unknown,,
26.557274029,39.34444116,569,2015/08/24 10:27:00+00,Partially Verified,Mediterranean,3,,"Syria, Afghanistan",MENA,Eastern Mediterranean,Between Turkey and Lesvos,,,,,AP,http://bit.ly/1O13lr2,"The Turkish Coast Guard recovered 3 bodies and rescued 73 survivors after their boat capsized en route to Lesvos, Greece from Canakkale, Turkey.",Yes,Drowning,,
34.307238086,31.0405380870001,7763,2015/11/22 23:00:00+00,Partially Verified,North Africa,5,,Sudan,MENA,Other,"Northern Sinai peninsula, near the border to Israel",,,,,Reuters,http://reut.rs/1Lx3Btk,,Yes,Shot,,
27.616564258,36.8636515850001,7764,2015/11/17 23:00:00+00,Verified,Mediterranean,8,7,Syria,MENA,Eastern Borders,"Southwestern coast of Turkey, Mugla province",,,,,Turkish Coast Guard via IOM Ankara,,,Yes,Drowning,5,
